"","species","qtd"
"3119","Dalechampia triphylla",0
"3120","Dalechampia uleana",0
"3121","Dalechampia weddelliana",0
"3122","Dendrothrix multiglandulosa",0
"3123","Dendrothrix wurdackii",0
"3124","Dodecastigma amazonicum",0
"3125","Dodecastigma integrifolium",0
"3126","Dodecastigma uleanum",0
"3127","Euphorbia chamaerrhodos",0
"3128","Euphorbia duckei",0
"3129","Euphorbia heterophylla",0
"3130","Euphorbia hirta",0
"3131","Euphorbia hypericifolia",0
"3132","Euphorbia hyssopifolia",0
"3133","Euphorbia lasiocarpa",0
"3134","Euphorbia prostrata",0
"3135","Euphorbia sinclairiana",0
"3136","Euphorbia thymifolia",0
"3137","Glycydendron amazonicum",0
"3138","Gussonia lanceolata",0
"3139","Gymnanthes hypoleuca",0
"3140","Haematostemon coriaceus",0
"3141","Haematostemon guianensis",0
"3142","Hevea benthamiana",0
"3143","Hevea brasiliensis",36
"3144","Hevea camargoana",0
"3145","Hevea camporum",0
"3146","Hevea guianensis",1
"3147","Hevea microphylla",0
"3148","Hevea nitida",0
"3149","Hevea paludosa",0
"3150","Hevea pauciflora",4
"3151","Hevea rigidifolia",0
"3152","Hevea spruceana",3
"3153","Hura crepitans",6
"3154","Jatropha elliptica",0
"3155","Jatropha gossypiifolia",1
"3156","Joannesia heveoides",0
"3157","Mabea anadena",0
"3158","Mabea angularis",0
"3159","Mabea angustifolia",0
"3160","Mabea anomala",0
"3161","Mabea arenicola",0
"3162","Mabea biglandulosa",0
"3163","Mabea elata",0
"3164","Mabea elegans",0
"3165","Mabea fistulifera",1
"3166","Mabea frutescens",0
"3167","Mabea klugii",0
"3168","Mabea longibracteata",0
"3169","Mabea macbridei",0
"3170","Mabea montana",0
"3171","Mabea nitida",0
"3172","Mabea occidentalis",0
"3173","Mabea ovata",0
"3174","Mabea paniculata",1
"3175","Mabea piriri",0
"3176","Mabea piriroides",0
"3177","Mabea pohliana",0
"3178","Mabea pulcherrima",0
"3179","Mabea rubicunda",0
"3180","Mabea salicoides",0
"3181","Mabea speciosa",1
"3182","Mabea standleyi",0
"3183","Mabea subserrulata",0
"3184","Mabea subsessilis",0
"3185","Mabea taquari",0
"3186","Mabea trianae",0
"3187","Mabea uleana",0
"3188","Manihot anomala",0
"3189","Manihot baccata",1
"3190","Manihot brachyloba",0
"3191","Manihot caerulescens",0
"3192","Manihot carthagenensis",0
"3193","Manihot carthaginensis",0
"3194","Manihot condensata",0
"3195","Manihot esculenta",56
"3196","Manihot flemingiana",0
"3197","Manihot leptophylla",0
"3198","Manihot marajoara",0
"3199","Manihot quinquepartita",0
"3200","Manihot surinamensis",0
"3201","Manihot tenella",0
"3202","Manihot tripartita",0
"3203","Manihot tristis",0
"3204","Maprounea amazonica",0
"3205","Maprounea brasiliensis",0
"3206","Maprounea guianensis",0
"3207","Micrandra australis",0
"3208","Micrandra elata",0
"3209","Micrandra glabra",0
"3210","Micrandra gleasoniana",0
"3211","Micrandra heterophylla",0
"3212","Micrandra inundata",0
"3213","Micrandra lopezii",0
"3214","Micrandra minor",0
"3215","Micrandra rossiana",0
"3216","Micrandra siphonioides",0
"3217","Micrandra spruceana",1
"3218","Micrandra sprucei",1
"3219","Micrandropsis scleroxylon",1
"3220","Microstachys corniculata",0
"3221","Microstachys hispida",0
"3222","Nealchornea stipitata",0
"3223","Nealchornea yapurensis",0
"3224","Omphalea diandra",0
"3225","Omphalea elaeophoroides",0
"3226","Pausandra fordii",0
"3227","Pausandra hirsuta",0
"3228","Pausandra macropetala",0
"3229","Pausandra macrostachya",0
"3230","Pausandra martinii",0
"3231","Pausandra trianae",0
"3232","Pleradenophora membranifolia",0
"3233","Plukenetia brachybotrya",0
"3234","Plukenetia loretensis",0
"3235","Plukenetia polyadenia",2
"3236","Plukenetia supraglandulosa",0
"3237","Plukenetia verrucosa",0
"3238","Plukenetia volubilis",10
"3239","Pseudosenefeldera inclinata",0
"3240","Rhodothyrsus macrophyllus",0
"3241","Romanoa tamnoides",0
"3242","Sagotia brachysepala",1
"3243","Sagotia racemosa",0
"3244","Sandwithia guyanensis",0
"3245","Sandwithia heterocalyx",0
"3246","Sapium curupita",0
"3247","Sapium glandulosum",0
"3248","Sapium jenmanii",0
"3249","Sapium laurifolium",0
"3250","Sapium marmieri",1
"3251","Sapium obovatum",0
"3252","Sapium pallidum",0
"3253","Sapium paucinervium",0
"3254","Sapium pavonianum",0
"3255","Senefeldera triandra",0
"3256","Senefelderopsis chiribiquetensis",0
"3257","Senefelderopsis croizatii",0
"3258","Tetrorchidium andinum",0
"3259","Tetrorchidium duckei",0
"3260","Tetrorchidium dusenii",0
"3261","Tetrorchidium macrophyllum",0
"3262","Tetrorchidium ochroleucum",0
"3263","Tetrorchidium rubrivenium",0
"3264","Tragia volubilis",0
"3265","Vaupesia cataractarum",0
"3266","Duckesia verrucosa",0
"3267","Endopleura uchi",6
"3268","Humiria balsamifera",2
"3269","Humiria crassifolia",0
"3270","Humiria wurdackii",0
"3271","Humiriastrum colombianum",0
"3272","Humiriastrum cuspidatum",0
"3273","Humiriastrum diguense",0
"3274","Humiriastrum excelsum",0
"3275","Humiriastrum mapiriense",0
"3276","Humiriastrum obovatum",0
"3277","Humiriastrum ottohuberi",0
"3278","Humiriastrum piraparanense",0
"3279","Humiriastrum piraparanenses",0
"3280","Humiriastrum subcrenatum",0
"3281","Humiriastrum villosum",0
"3282","Hylocarpa heterocarpa",0
"3283","Sacoglottis amazonica",0
"3284","Sacoglottis ceratocarpa",0
"3285","Sacoglottis cydonioides",0
"3286","Sacoglottis cydonoides",0
"3287","Sacoglottis guianensis",0
"3288","Sacoglottis mattogrossensis",0
"3289","Schistostemon densiflorum",0
"3290","Schistostemon dichotomum",0
"3291","Schistostemon macrophyllum",0
"3292","Schistostemon oblongifolium",0
"3293","Schistostemon reticulatum",0
"3294","Schistostemon retusum",0
"3295","Schistostemon sylvaticum",0
"3296","Vantanea celativenia",0
"3297","Vantanea compacta",0
"3298","Vantanea deniseae",0
"3299","Vantanea guianensis",0
"3300","Vantanea macrocarpa",0
"3301","Vantanea micrantha",0
"3302","Vantanea minor",0
"3303","Vantanea ovicarpa",0
"3304","Vantanea paraensis",0
"3305","Vantanea parviflora",1
"3306","Vantanea peruviana",1
"3307","Vantanea spichigeri",0
"3308","Vantanea tuberculata",0
"3309","Vismia baccifera",2
"3310","Vismia bemerguii",0
"3311","Vismia cauliflora",0
"3312","Vismia cavalcantei",0
"3313","Vismia cayennensis",4
"3314","Vismia confertiflora",0
"3315","Vismia floribunda",0
"3316","Vismia glabra",0
"3317","Vismia gracilis",1
"3318","Vismia guianensis",14
"3319","Vismia japurensis",4
"3320","Vismia lateriflora",0
"3321","Vismia latifolia",0
"3322","Vismia lauriformis",0
"3323","Vismia laxiflora",0
"3324","Vismia macrophylla",1
"3325","Vismia minutiflora",0
"3326","Vismia obtusa",0
"3327","Vismia plicatifolia",0
"3328","Vismia pozuzoensis",0
"3329","Vismia ramuliflora",0
"3330","Vismia rusbyi",0
"3331","Vismia sandwithii",0
"3332","Vismia schultesii",0
"3333","Vismia sessilifolia",0
"3334","Vismia sprucei",0
"3335","Vismia subcuneata",0
"3336","Vismia tenuinervia",0
"3337","Vismia tomentosa",0
"3338","Aiouea angulata",0
"3339","Aiouea benthamiana",0
"3340","Aiouea dubia",0
"3341","Aiouea grandifolia",0
"3342","Aiouea guianensis",0
"3343","Aiouea impressa",0
"3344","Aiouea laevis",0
"3345","Aiouea longipetiolata",0
"3346","Aiouea maguireana",0
"3347","Aiouea montana",0
"3348","Aiouea myristicoides",0
"3349","Aiouea napoensis",0
"3350","Aiouea opaca",0
"3351","Aiouea piauhyensis",0
"3352","Aiouea saligna",0
"3353","Aiouea tomentella",0
"3354","Aiouea trinervis",0
"3355","Anaueria brasiliensis",0
"3356","Aniba affinis",0
"3357","Aniba burchellii",0
"3358","Aniba canelilla",5
"3359","Aniba cinnamomiflora",0
"3360","Aniba citrifolia",0
"3361","Aniba coto",0
"3362","Aniba cylindriflora",0
"3363","Aniba excelsa",0
"3364","Aniba ferrea",0
"3365","Aniba ferruginea",0
"3366","Aniba guianensis",0
"3367","Aniba heterotepala",0
"3368","Aniba hostmanniana",0
"3369","Aniba hypoglauca",0
"3370","Aniba inaequabilis",1
"3371","Aniba jenmanii",0
"3372","Aniba kappleri",0
"3373","Aniba lancifolia",0
"3374","Aniba megaphylla",0
"3375","Aniba muca",0
"3376","Aniba panurensis",0
"3377","Aniba parviflora",1
"3378","Aniba percoriacea",0
"3379","Aniba permollis",0
"3380","Aniba perutilis",0
"3381","Aniba pilosa",0
"3382","Aniba puchury-minor",0
"3383","Aniba riparia",2
"3384","Aniba rosiodora",0
"3385","Aniba santalodora",0
"3386","Aniba simulans",0
"3387","Aniba taubertiana",0
"3388","Aniba terminalis",0
"3389","Aniba vaupesiana",0
"3390","Aniba williamsii",0
"3391","Beilschmiedia costaricensis",0
"3392","Beilschmiedia curviramea",0
"3393","Beilschmiedia hexanthera",0
"3394","Beilschmiedia latifolia",0
"3395","Beilschmiedia pendula",0
"3396","Beilschmiedia sulcata",0
"3397","Beilschmiedia tovarensis",0
"3398","Caryodaphnopsis fosteri",0
"3399","Caryodaphnopsis inaequalis",0
"3400","Caryodaphnopsis parviflora",0
"3401","Caryodaphnopsis tomentosa",0
"3402","Cassytha filiformis",0
"3403","Chlorocardium rodiei",1
"3404","Chlorocardium venenosum",0
"3405","Cinnamomum semecarpifolium",0
"3406","Cryptocarya guianensis",0
"3407","Cryptocarya yasuniensis",0
"3408","Damburneya purpurea",0
"3409","Dicypellium caryophyllaceum",0
"3410","Dicypellium manausense",0
"3411","Endlicheria acuminata",0
"3412","Endlicheria anomala",2
"3413","Endlicheria arachnocome",0
"3414","Endlicheria arenosa",0
"3415","Endlicheria argentea",0
"3416","Endlicheria arunciflora",0
"3417","Endlicheria aurea",0
"3418","Endlicheria bracteata",0
"3419","Endlicheria bracteolata",0
"3420","Endlicheria bullata",0
"3421","Endlicheria canescens",0
"3422","Endlicheria chalisea",0
"3423","Endlicheria chrysovelutina",0
"3424","Endlicheria citriodora",1
"3425","Endlicheria cocuirey",0
"3426","Endlicheria coriacea",0
"3427","Endlicheria dictifarinosa",0
"3428","Endlicheria directonervia",0
"3429","Endlicheria dysodantha",0
"3430","Endlicheria ferruginosa",0
"3431","Endlicheria formosa",0
"3432","Endlicheria gracilis",0
"3433","Endlicheria griseosericea",0
"3434","Endlicheria klugii",0
"3435","Endlicheria krukovii",0
"3436","Endlicheria levelii",0
"3437","Endlicheria longicaudata",0
"3438","Endlicheria lorastemon",0
"3439","Endlicheria macrophylla",0
"3440","Endlicheria melinonii",0
"3441","Endlicheria metallica",0
"3442","Endlicheria mishuyacensis",0
"3443","Endlicheria multiflora",0
"3444","Endlicheria paniculata",0
"3445","Endlicheria punctulata",0
"3446","Endlicheria pyriformis",0
"3447","Endlicheria reflectens",0
"3448","Endlicheria robusta",0
"3449","Endlicheria rubra",0
"3450","Endlicheria rubriflora",0
"3451","Endlicheria ruforamula",0
"3452","Endlicheria sprucei",0
"3453","Endlicheria szyszylowiczii",0
"3454","Endlicheria tessmannii",0
"3455","Endlicheria tschudyana",0
"3456","Endlicheria verticillata",0
"3457","Endlicheria vinotincta",0
"3458","Endlicheria williamsii",0
"3459","Kubitzkia mezii",0
"3460","Licaria armeniaca",0
"3461","Licaria aurea",0
"3462","Licaria aureosericea",1
"3463","Licaria brasiliensis",0
"3464","Licaria camara",0
"3465","Licaria carinata",0
"3466","Licaria chrysophylla",0
"3467","Licaria comata",0
"3468","Licaria crassifolia",0
"3469","Licaria debilis",0
"3470","Licaria deltoidea",0
"3471","Licaria dolichantha",0
"3472","Licaria exserta",0
"3473","Licaria filiformis",0
"3474","Licaria guianensis",0
"3475","Licaria hirsuta",0
"3476","Licaria macrophylla",0
"3477","Licaria martiniana",0
"3478","Licaria multiflora",0
"3479","Licaria oppositifolia",0
"3480","Licaria pachycarpa",0
"3481","Licaria polyphylla",0
"3482","Licaria puchury-major",1
"3483","Licaria quirirafuina",0
"3484","Licaria rodriguesii",0
"3485","Licaria rufotomentosa",0
"3486","Licaria sclerophylla",0
"3487","Licaria sessiliflora",0
"3488","Licaria subbullata",0
"3489","Licaria tomentosa",0
"3490","Licaria triandra",0
"3491","Licaria trinervis",0
"3492","Licaria vernicosa",0
"3493","Mezilaurus caatingae",0
"3494","Mezilaurus campaucola",0
"3495","Mezilaurus decurrens",0
"3496","Mezilaurus duckei",0
"3497","Mezilaurus introrsa",0
"3498","Mezilaurus itauba",8
"3499","Mezilaurus lindaviana",0
"3500","Mezilaurus mahuba",0
"3501","Mezilaurus manausensis",0
"3502","Mezilaurus micrantha",0
"3503","Mezilaurus opaca",0
"3504","Mezilaurus palcazuensis",0
"3505","Mezilaurus pyriflora",0
"3506","Mezilaurus sprucei",0
"3507","Mezilaurus subcordata",0
"3508","Mezilaurus synandra",0
"3509","Mezilaurus thoroflora",0
"3510","Mezilaurus triunca",0
"3511","Nectandra acuminata",0
"3512","Nectandra acutifolia",0
"3513","Nectandra amazonum",1
"3514","Nectandra aurea",0
"3515","Nectandra brittonii",0
"3516","Nectandra brochidodroma",0
"3517","Nectandra canaliculata",0
"3518","Nectandra canescens",0
"3519","Nectandra cissiflora",0
"3520","Nectandra coeloclada",0
"3521","Nectandra cordata",0
"3522","Nectandra crassiloba",0
"3523","Nectandra cuneatocordata",0
"3524","Nectandra cuspidata",1
"3525","Nectandra dasystyla",0
"3526","Nectandra egensis",0
"3527","Nectandra embirensis",0
"3528","Nectandra filiflora",0
"3529","Nectandra fragrans",0
"3530","Nectandra fulva",0
"3531","Nectandra globosa",0
"3532","Nectandra gracilis",0
"3533","Nectandra grisea",0
"3534","Nectandra heterotricha",0
"3535","Nectandra hihua",0
"3536","Nectandra impressa",0
"3537","Nectandra japurensis",0
"3538","Nectandra latissima",0
"3539","Nectandra laurel",0
"3540","Nectandra lineata",0
"3541","Nectandra lineatifolia",0
"3542","Nectandra longifolia",0
"3543","Nectandra matthewsii",0
"3544","Nectandra maynensis",0
"3545","Nectandra membranacea",0
"3546","Nectandra microcarpa",0
"3547","Nectandra olida",0
"3548","Nectandra parviflora",0
"3549","Nectandra paucinervia",0
"3550","Nectandra pearcei",0
"3551","Nectandra pichurim",0
"3552","Nectandra pseudocotea",0
"3553","Nectandra pulverulenta",0
"3554","Nectandra reflexa",0
"3555","Nectandra reticulata",0
"3556","Nectandra riparia",0
"3557","Nectandra ruforamula",0
"3558","Nectandra sanguinea",0
"3559","Nectandra tomentosa",0
"3560","Nectandra turbacensis",0
"3561","Nectandra viburnoides",0
"3562","Nectandra wurdackii",0
"3563","Nectandra yarinensis",0
"3564","Ocotea aciphylla",2
"3565","Ocotea adenotrachelium",0
"3566","Ocotea alata",0
"3567","Ocotea albescens",0
"3568","Ocotea albida",0
"3569","Ocotea albopunctulata",0
"3570","Ocotea amazonica",0
"3571","Ocotea argyrophylla",0
"3572","Ocotea atrata",0
"3573","Ocotea aurantiodora",0
"3574","Ocotea badia",0
"3575","Ocotea bangii",0
"3576","Ocotea basirecurva",0
"3577","Ocotea bijuga",0
"3578","Ocotea bofo",0
"3579","Ocotea boissieriana",0
"3580","Ocotea bracteolata",0
"3581","Ocotea camphoromoea",0
"3582","Ocotea canaliculata",0
"3583","Ocotea ceanothifolia",0
"3584","Ocotea cinerea",1
"3585","Ocotea commutata",0
"3586","Ocotea costulata",0
"3587","Ocotea crassifolia",0
"3588","Ocotea cujumary",0
"3589","Ocotea cuneifolia",0
"3590","Ocotea cuprea",0
"3591","Ocotea cymbarum",2
"3592","Ocotea debilis",0
"3593","Ocotea delicata",0
"3594","Ocotea depauperata",0
"3595","Ocotea diffusa",0
"3596","Ocotea discrepens",0
"3597","Ocotea douradensis",0
"3598","Ocotea duidensis",0
"3599","Ocotea duplocolorata",0
"3600","Ocotea endlicheriopsis",0
"3601","Ocotea erectifolia",0
"3602","Ocotea esmeraldana",0
"3603","Ocotea fasciculata",0
"3604","Ocotea fendleri",0
"3605","Ocotea flavantha",0
"3606","Ocotea floribunda",1
"3607","Ocotea fragrantissima",0
"3608","Ocotea glomerata",0
"3609","Ocotea gracilis",0
"3610","Ocotea guianensis",2
"3611","Ocotea hemsleyana",0
"3612","Ocotea hirtandra",0
"3613","Ocotea hirtostyla",0
"3614","Ocotea illustris",0
"3615","Ocotea imazensis",0
"3616","Ocotea immersa",0
"3617","Ocotea indirectinervia",0
"3618","Ocotea insularis",0
"3619","Ocotea javitensis",0
"3620","Ocotea julianii",0
"3621","Ocotea keriana",0
"3622","Ocotea laticostata",0
"3623","Ocotea lenitae",0
"3624","Ocotea leptobotra",0
"3625","Ocotea leptophylla",0
"3626","Ocotea leucoxylon",4
"3627","Ocotea liesneri",0
"3628","Ocotea ligulata",0
"3629","Ocotea magnifica",0
"3630","Ocotea marmellensis",0
"3631","Ocotea matogrossensis",0
"3632","Ocotea megacarpa",0
"3633","Ocotea minor",0
"3634","Ocotea minutiflora",0
"3635","Ocotea montis-insulae",0
"3636","Ocotea myriantha",0
"3637","Ocotea neblinae",0
"3638","Ocotea neesiana",0
"3639","Ocotea nigra",0
"3640","Ocotea nigrescens",0
"3641","Ocotea nilssonii",0
"3642","Ocotea nitida",0
"3643","Ocotea obliqua",0
"3644","Ocotea oblonga",0
"3645","Ocotea obovata",0
"3646","Ocotea olivacea",0
"3647","Ocotea ovalifolia",0
"3648","Ocotea pauciflora",0
"3649","Ocotea percurrens",0
"3650","Ocotea perrobusta",0
"3651","Ocotea petalanthera",0
"3652","Ocotea puberula",0
"3653","Ocotea quixos",0
"3654","Ocotea revoluta",0
"3655","Ocotea rhodophylla",0
"3656","Ocotea rubrinervis",0
"3657","Ocotea rufovestita",0
"3658","Ocotea sanariapensis",0
"3659","Ocotea sandwithii",0
"3660","Ocotea scabrella",0
"3661","Ocotea scalariformis",0
"3662","Ocotea scandens",0
"3663","Ocotea schomburgkiana",0
"3664","Ocotea silvae",0
"3665","Ocotea splendens",0
"3666","Ocotea sprucei",0
"3667","Ocotea subrutilans",0
"3668","Ocotea subterminalis",0
"3669","Ocotea tabacifolia",0
"3670","Ocotea tenella",0
"3671","Ocotea tessmannii",0
"3672","Ocotea tomentella",0
"3673","Ocotea tomentosa",0
"3674","Ocotea vasquezii",0
"3675","Ocotea venosa",0
"3676","Ocotea whitei",0
"3677","Ocotea wurdackiana",0
"3678","Ocotea yutajensis",0
"3679","Paraia bracteata",0
"3680","Persea areolatocostae",0
"3681","Persea benthamiana",0
"3682","Persea buchtienii",0
"3683","Persea caerulea",0
"3684","Persea croatii",0
"3685","Persea croizatii",0
"3686","Persea fastigiata",0
"3687","Persea fluviatilis",0
"3688","Persea grandiflora",0
"3689","Persea jenmanii",0
"3690","Persea julianae",0
"3691","Persea nivea",0
"3692","Persea nudigemma",0
"3693","Persea perseiphylla",0
"3694","Persea peruviana",0
"3695","Persea pseudofasciculata",0
"3696","Persea rigens",0
"3697","Persea trollii",0
"3698","Phyllostemonodaphne geminiflora",0
"3699","Pleurothyrium acuminatum",0
"3700","Pleurothyrium amapaense",0
"3701","Pleurothyrium arcuatum",0
"3702","Pleurothyrium bifidum",0
"3703","Pleurothyrium brochidodromum",0
"3704","Pleurothyrium cinereum",0
"3705","Pleurothyrium cuneifolium",0
"3706","Pleurothyrium glabrifolium",0
"3707","Pleurothyrium insigne",0
"3708","Pleurothyrium intermedium",0
"3709","Pleurothyrium maximum",0
"3710","Pleurothyrium nobile",0
"3711","Pleurothyrium panurense",0
"3712","Pleurothyrium parviflorum",0
"3713","Pleurothyrium poeppigii",0
"3714","Pleurothyrium prancei",0
"3715","Pleurothyrium tomentellum",0
"3716","Pleurothyrium trianae",0
"3717","Pleurothyrium undulatum",0
"3718","Pleurothyrium vasquezii",0
"3719","Pleurothyrium williamsii",0
"3720","Rhodostemonodaphne crenaticupula",0
"3721","Rhodostemonodaphne curicuriariensis",0
"3722","Rhodostemonodaphne debilis",0
"3723","Rhodostemonodaphne dioica",0
"3724","Rhodostemonodaphne elephantopus",0
"3725","Rhodostemonodaphne grandis",0
"3726","Rhodostemonodaphne juruensis",0
"3727","Rhodostemonodaphne kunthiana",0
"3728","Rhodostemonodaphne leptoclada",0
"3729","Rhodostemonodaphne licanioides",0
"3730","Rhodostemonodaphne longiflora",0
"3731","Rhodostemonodaphne longipetiolata",0
"3732","Rhodostemonodaphne miranda",0
"3733","Rhodostemonodaphne mirecolorata",0
"3734","Rhodostemonodaphne morii",0
"3735","Rhodostemonodaphne napoensis",0
"3736","Rhodostemonodaphne negrensis",0
"3737","Rhodostemonodaphne parvifolia",0
"3738","Rhodostemonodaphne peneia",0
"3739","Rhodostemonodaphne praeclara",0
"3740","Rhodostemonodaphne recurva",1
"3741","Rhodostemonodaphne revolutifolia",0
"3742","Rhodostemonodaphne rufovirgata",0
"3743","Rhodostemonodaphne saulensis",0
"3744","Rhodostemonodaphne scandens",0
"3745","Rhodostemonodaphne sordida",0
"3746","Rhodostemonodaphne synandra",0
"3747","Rhodostemonodaphne tumucumaquensis",0
"3748","Sextonia pubescens",0
"3749","Sextonia rubra",5
"3750","Williamodendron spectabile",0
"3751","Yasunia quadrata",0
"3752","Yasunia sessiliflora",0
"3753","Allantoma decandra",0
"3754","Allantoma integrifolia",0
"3755","Allantoma kuhlmannii",0
"3756","Allantoma lineata",3
"3757","Allantoma pachyantha",0
"3758","Allantoma pauciramosa",0
"3759","Allantoma pluriflora",0
"3760","Allantoma uaupensis",0
"3761","Asteranthos brasiliensis",0
"3762","Bertholletia excelsa",116
"3763","Cariniana domestica",1
"3764","Cariniana estrellensis",0
"3765","Cariniana micrantha",5
"3766","Cariniana penduliflora",0
"3767","Corythophora alta",0
"3768","Corythophora amapaensis",0
"3769","Corythophora labriculata",0
"3770","Corythophora rimosa",0
"3771","Couratari atrovinosa",0
"3772","Couratari calycina",0
"3773","Couratari gloriosa",0
"3774","Couratari guianensis",3
"3775","Couratari longipedicellata",0
"3776","Couratari macrosperma",1
"3777","Couratari multiflora",4
"3778","Couratari oblongifolia",1
"3779","Couratari oligantha",0
"3780","Couratari prancei",0
"3781","Couratari riparia",0
"3782","Couratari sandwithii",0
"3783","Couratari stellata",2
"3784","Couratari tauari",0
"3785","Couratari tenuicarpa",1
"3786","Couroupita guianensis",4
"3787","Couroupita subsessilis",0
"3788","Eschweilera alata",0
"3789","Eschweilera albiflora",1
"3790","Eschweilera amazonica",0
"3791","Eschweilera amazoniciformis",0
"3792","Eschweilera andina",0
"3793","Eschweilera apiculata",0
"3794","Eschweilera atropetiolata",1
"3795","Eschweilera baguensis",0
"3796","Eschweilera boltenii",0
"3797","Eschweilera bracteosa",2
"3798","Eschweilera cabrerana",0
"3799","Eschweilera carinata",0
"3800","Eschweilera chartaceifolia",0
"3801","Eschweilera collina",2
"3802","Eschweilera coriacea",10
"3803","Eschweilera cyathiformis",0
"3804","Eschweilera decolorans",0
"3805","Eschweilera eperuetorum",0
"3806","Eschweilera fanshawei",0
"3807","Eschweilera gigantea",0
"3808","Eschweilera grandiflora",2
"3809","Eschweilera itayensis",0
"3810","Eschweilera juruensis",0
"3811","Eschweilera klugii",0
"3812","Eschweilera laevicarpa",0
"3813","Eschweilera micrantha",0
"3814","Eschweilera neblinensis",0
"3815","Eschweilera obversa",0
"3816","Eschweilera ovalifolia",1
"3817","Eschweilera ovata",2
"3818","Eschweilera paniculata",0
"3819","Eschweilera parviflora",0
"3820","Eschweilera parvifolia",0
"3821","Eschweilera pedicellata",1
"3822","Eschweilera piresii",1
"3823","Eschweilera potaroensis",0
"3824","Eschweilera praealta",0
"3825","Eschweilera pseudodecolorans",0
"3826","Eschweilera punctata",0
"3827","Eschweilera rabeliana",0
"3828","Eschweilera rankiniae",0
"3829","Eschweilera revoluta",0
"3830","Eschweilera rhododendrifolia",0
"3831","Eschweilera rionegrense",0
"3832","Eschweilera romeu-cardosoi",0
"3833","Eschweilera roraimensis",0
"3834","Eschweilera rufifolia",0
"3835","Eschweilera sagotiana",0
"3836","Eschweilera squamata",0
"3837","Eschweilera subcordata",0
"3838","Eschweilera subglandulosa",0
"3839","Eschweilera tenuifolia",1
"3840","Eschweilera tessmannii",0
"3841","Eschweilera truncata",0
"3842","Eschweilera wachenheimii",0
"3843","Grias neuberthii",1
"3844","Grias peruviana",0
"3845","Gustavia acuminata",0
"3846","Gustavia augusta",0
"3847","Gustavia coriacea",0
"3848","Gustavia elliptica",0
"3849","Gustavia erythrocarpa",0
"3850","Gustavia gigantophylla",0
"3851","Gustavia hexapetala",1
"3852","Gustavia hubbardiorum",0
"3853","Gustavia inakuama",0
"3854","Gustavia longepetiolata",0
"3855","Gustavia longifolia",0
"3856","Gustavia macarenensis",0
"3857","Gustavia pulchra",1
"3858","Gustavia terminaliflora",0
"3859","Lecythis alutacea",0
"3860","Lecythis barnebyi",0
"3861","Lecythis brancoensis",0
"3862","Lecythis chartacea",0
"3863","Lecythis confertiflora",0
"3864","Lecythis corrugata",2
"3865","Lecythis gracieana",0
"3866","Lecythis holcogyne",0
"3867","Lecythis idatimon",1
"3868","Lecythis lurida",1
"3869","Lecythis parvifructa",0
"3870","Lecythis persistens",0
"3871","Lecythis pisonis",1
"3872","Lecythis pneumatophora",0
"3873","Lecythis poiteaui",2
"3874","Lecythis prancei",0
"3875","Lecythis retusa",0
"3876","Lecythis schomburgkii",0
"3877","Lecythis serrata",0
"3878","Lecythis simiorum",0
"3879","Lecythis zabucajo",0
"3880","Abarema acreana",0
"3881","Abarema adenophora",0
"3882","Abarema auriculata",2
"3883","Abarema barbouriana",0
"3884","Abarema campestris",0
"3885","Abarema cochleata",0
"3886","Abarema commutata",0
"3887","Abarema curvicarpa",0
"3888","Abarema ferruginea",0
"3889","Abarema floribunda",0
"3890","Abarema gallorum",0
"3891","Abarema jupunba",1
"3892","Abarema laeta",0
"3893","Abarema leucophylla",0
"3894","Abarema levelii",0
"3895","Abarema longipedunculata",0
"3896","Abarema macradenia",0
"3897","Abarema mataybifolia",0
"3898","Abarema microcalyx",0
"3899","Abarema piresii",0
"3900","Abarema villifera",0
"3901","Abrus fruticulosus",0
"3902","Abrus precatorius",1
"3903","Abrus pulchellus",0
"3904","Abrus tenuiflorus",0
"3905","Adenopodia floribunda",0
"3906","Aeschynomene americana",1
"3907","Aeschynomene brasiliana",0
"3908","Aeschynomene brevipes",0
"3909","Aeschynomene ciliata",0
"3910","Aeschynomene falcata",0
"3911","Aeschynomene filosa",0
"3912","Aeschynomene fluminensis",0
"3913","Aeschynomene interrupta",0
"3914","Aeschynomene pratensis",0
"3915","Aeschynomene rudis",0
"3916","Aeschynomene sensitiva",0
"3917","Albizia barinensis",0
"3918","Albizia carbonaria",0
"3919","Albizia decandra",0
"3920","Albizia duckeana",0
"3921","Albizia glabripetala",0
"3922","Albizia multiflora",0
"3923","Albizia niopoides",1
"3924","Albizia subdimidiata",0
"3925","Aldina aurea",0
"3926","Aldina barnebyana",0
"3927","Aldina discolor",0
"3928","Aldina elliptica",0
"3929","Aldina heterophylla",4
"3930","Aldina insignis",0
"3931","Aldina kunhardtiana",0
"3932","Aldina latifolia",2
"3933","Aldina macrophylla",0
"3934","Aldina microphylla",0
"3935","Aldina occidentalis",0
"3936","Aldina paulberryi ",1
"3937","Aldina petiolulata",0
"3938","Aldina polyphylla",0
"3939","Aldina reticulata",0
"3940","Aldina speciosa",0
"3941","Alexa bauhiniiflora",0
"3942","Alexa canaracunensis",0
"3943","Alexa confusa",0
"3944","Alexa cowanii",0
"3945","Alexa grandiflora",2
"3946","Alexa herminiana",0
"3947","Alexa imperatricis",1
"3948","Alexa leiopetala",0
"3949","Alexa superba",0
"3950","Alexa surinamensis",0
