"","species","qtd"
"204","Duguetia quitarensis",0
"205","Duguetia rigida",0
"206","Duguetia rionegrensis",0
"207","Duguetia riparia",0
"208","Duguetia ruboides",0
"209","Duguetia sancticaroli",0
"210","Duguetia schulzii",0
"211","Duguetia spixiana",0
"212","Duguetia stelechantha",0
"213","Duguetia stenantha",0
"214","Duguetia subcordata",0
"215","Duguetia surinamensis",0
"216","Duguetia tenuis",0
"217","Duguetia tessmannii",0
"218","Duguetia trunciflora",0
"219","Duguetia ulei",0
"220","Duguetia uniflora",0
"221","Duguetia venezuelana",0
"222","Duguetia yeshidan",0
"223","Ephedranthus amazonicus",2
"224","Ephedranthus boliviensis",0
"225","Ephedranthus guianensis",0
"226","Ephedranthus parviflorus",0
"227","Ephedranthus pisocarpus",0
"228","Froesiodendron amazonicum",0
"229","Froesiodendron longicuspe",0
"230","Froesiodendron urceocalyx",0
"231","Fusaea longifolia",0
"232","Fusaea peruviana",0
"233","Guatteria amapaensis",0
"234","Guatteria anteridifera",0
"235","Guatteria araracuarae",0
"236","Guatteria arenicola",0
"237","Guatteria atabapensis",1
"238","Guatteria ayangannae",0
"239","Guatteria beckii",0
"240","Guatteria blepharophylla",2
"241","Guatteria campinensis",0
"242","Guatteria castilloi",0
"243","Guatteria chrysophylla",0
"244","Guatteria citriodora",0
"245","Guatteria clusiifolia",0
"246","Guatteria confusa",0
"247","Guatteria conspicua",0
"248","Guatteria cryandra",0
"249","Guatteria decurrens",0
"250","Guatteria denudata",0
"251","Guatteria discolor",0
"252","Guatteria duckeana",0
"253","Guatteria duodecima",0
"254","Guatteria dura",0
"255","Guatteria elata",0
"256","Guatteria elegantissima",0
"257","Guatteria elongata",0
"258","Guatteria eriopoda",0
"259","Guatteria eugeniifolia",0
"260","Guatteria flabellata",0
"261","Guatteria flagelliflora",0
"262","Guatteria flexilis",0
"263","Guatteria foliosa",0
"264","Guatteria friesiana",1
"265","Guatteria gentryi",0
"266","Guatteria grandipes",0
"267","Guatteria guianensis",0
"268","Guatteria heteropetala",0
"269","Guatteria hirsuta",0
"270","Guatteria hispida",1
"271","Guatteria insculpta",0
"272","Guatteria intermedia",0
"273","Guatteria inundata",0
"274","Guatteria japurensis",0
"275","Guatteria leucotricha",0
"276","Guatteria liesneri",0
"277","Guatteria longicuspis",0
"278","Guatteria megalocarpa",0
"279","Guatteria megalophylla",0
"280","Guatteria meliodora",0
"281","Guatteria minutiflora",0
"282","Guatteria modesta",0
"283","Guatteria monticola",0
"284","Guatteria myriocarpa",0
"285","Guatteria oblonga",0
"286","Guatteria odorata",0
"287","Guatteria oriximinae",0
"288","Guatteria ouregou",0
"289","Guatteria pachyphylla",0
"290","Guatteria paludosa",0
"291","Guatteria pannosa",0
"292","Guatteria partangensis",0
"293","Guatteria pastazae",0
"294","Guatteria peruviana",0
"295","Guatteria pichinchae",0
"296","Guatteria polyantha",0
"297","Guatteria procera",0
"298","Guatteria punctata",0
"299","Guatteria ramiflora",0
"300","Guatteria revoluta",0
"301","Guatteria richardii",0
"302","Guatteria ruboides",0
"303","Guatteria rubrinervis",0
"304","Guatteria sabuletorum",0
"305","Guatteria saffordiana",0
"306","Guatteria sanctaecrucis",0
"307","Guatteria scalarinervia",0
"308","Guatteria scandens",0
"309","Guatteria schomburgkiana",0
"310","Guatteria scytophylla",0
"311","Guatteria spectabilis",0
"312","Guatteria stenopetala",0
"313","Guatteria stenophylla",0
"314","Guatteria stipitata",0
"315","Guatteria subsessilis",0
"316","Guatteria tomentosa",0
"317","Guatteria trichocarpa",0
"318","Guatteria trichostemon",0
"319","Guatteria ucayalina",0
"320","Guatteria wachenheimii",0
"321","Guatteria wokomungensis",0
"322","Klarobelia candida",0
"323","Klarobelia cauliflora",0
"324","Klarobelia inundata",0
"325","Klarobelia napoensis",0
"326","Klarobelia pandoensis",0
"327","Klarobelia pumila",0
"328","Malmea cuspidata",0
"329","Malmea dielsiana",0
"330","Malmea guianensis",0
"331","Malmea manausensis",0
"332","Malmea surinamensis",0
"333","Mosannona discolor",0
"334","Mosannona pachiteae",0
"335","Mosannona papillosa",0
"336","Mosannona parva",0
"337","Mosannona raimondii",0
"338","Mosannona vasquezii",0
"339","Mosannona xanthochlora",0
"340","Onychopetalum amazonicum",0
"341","Onychopetalum periquino",0
"342","Oxandra asbeckii",1
"343","Oxandra espintana",0
"344","Oxandra euneura",0
"345","Oxandra guianensis",0
"346","Oxandra krukoffii",0
"347","Oxandra leucodermis",0
"348","Oxandra macrophylla",0
"349","Oxandra mediocris",0
"350","Oxandra polyantha",0
"351","Oxandra riedeliana",0
"352","Oxandra sessiliflora",0
"353","Oxandra sphaerocarpa",0
"354","Oxandra surinamensis",0
"355","Oxandra xylopioides",0
"356","Porcelia mediocris",0
"357","Porcelia nitidifolia",0
"358","Porcelia ponderosa",0
"359","Porcelia venezuelanensis",0
"360","Pseudephedranthus fragrans",0
"361","Pseudomalmea diclina",1
"362","Pseudoxandra acreana",0
"363","Pseudoxandra angustifolia",0
"364","Pseudoxandra atrata",0
"365","Pseudoxandra borbensis",0
"366","Pseudoxandra cauliflora",0
"367","Pseudoxandra cuspidata",1
"368","Pseudoxandra duckei",0
"369","Pseudoxandra leiophylla",0
"370","Pseudoxandra lucida",0
"371","Pseudoxandra obscurinervis",0
"372","Pseudoxandra papillosa",0
"373","Pseudoxandra parvifolia",0
"374","Pseudoxandra pilosa",0
"375","Pseudoxandra polyphleba",0
"376","Pseudoxandra revoluta",0
"377","Pseudoxandra rionegrensis",0
"378","Pseudoxandra williamsii",0
"379","Pseudoxandra xylopiifolia",0
"380","Ruizodendron ovale",0
"381","Tetrameranthus duckei",0
"382","Tetrameranthus globulifer",0
"383","Tetrameranthus guianensis",0
"384","Tetrameranthus laomae",0
"385","Tetrameranthus macrocarpus",0
"386","Tetrameranthus pachycarpus",0
"387","Tetrameranthus umbellatus",0
"388","Trigynaea caudata",0
"389","Trigynaea cinnamomea",0
"390","Trigynaea duckei",0
"391","Trigynaea lagaropoda",0
"392","Trigynaea lanceipetala",0
"393","Trigynaea triplinervis",0
"394","Unonopsis asterantha",0
"395","Unonopsis duckei",0
"396","Unonopsis elegantissima",0
"397","Unonopsis floribunda",0
"398","Unonopsis glaucopetala",0
"399","Unonopsis guatterioides",3
"400","Unonopsis heterotricha",0
"401","Unonopsis magnifolia",0
"402","Unonopsis onychopetaloides",0
"403","Unonopsis perrottetii",0
"404","Unonopsis peruviana",0
"405","Unonopsis rufescens",0
"406","Unonopsis silvatica",0
"407","Unonopsis spectabilis",0
"408","Unonopsis stipitata",0
"409","Unonopsis umbilicata",0
"410","Unonopsis veneficiorum",0
"411","Xylopia amazonica",2
"412","Xylopia amoena",0
"413","Xylopia aromatica",5
"414","Xylopia barbata",0
"415","Xylopia benthamii",1
"416","Xylopia calophylla",0
"417","Xylopia cayennensis",0
"418","Xylopia conjungens",0
"419","Xylopia crinita",0
"420","Xylopia cuspidata",0
"421","Xylopia densiflora",0
"422","Xylopia discreta",0
"423","Xylopia egleriana",0
"424","Xylopia emarginata",0
"425","Xylopia excellens",0
"426","Xylopia frutescens",1
"427","Xylopia ligustrifolia",0
"428","Xylopia longicuspis",0
"429","Xylopia micans",1
"430","Xylopia multiflora",0
"431","Xylopia neglecta",0
"432","Xylopia nervosa",0
"433","Xylopia nitida",1
"434","Xylopia orinocensis",0
"435","Xylopia parviflora",0
"436","Xylopia peruviana",0
"437","Xylopia pittieri",0
"438","Xylopia plowmanii",0
"439","Xylopia polyantha",0
"440","Xylopia pulcherrima",0
"441","Xylopia rigidiflora",0
