family,species,life.form,tree.10cm.DBH,Brazil,Peru,Ecuador,Bolivia,Colombia,French.Guiana,Guyana,Surinam,Venezuela,Guiana.Shield.summarised,group,genus,fullname,checked.by.specialists,notes
Achariaceae,Carpotroche amazonica,tree,yes,yes,no,yes,no,yes,no,no,no,no,no,Angiosperm,Carpotroche,Carpotroche amazonica Mart. ex Eichler,yes,revised.by.M.Sobral
Achariaceae,Carpotroche crispidentata,tree,yes,yes,no,no,no,no,yes,no,no,no,yes,Angiosperm,Carpotroche,Carpotroche crispidentata Ducke,yes,revised.by.M.Sobral
Achariaceae,Carpotroche froesiana,shrub,no,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Carpotroche,Carpotroche froesiana Sleumer,yes,revised.by.M.Sobral
Achariaceae,Carpotroche grandiflora,"shrub, tree",yes,yes,no,no,no,yes,no,no,yes,yes,yes,Angiosperm,Carpotroche,Carpotroche grandiflora Spruce ex Benth.,yes,revised.by.M.Sobral
Achariaceae,Carpotroche integrifolia,"shrub, tree",yes,yes,no,no,no,yes,no,no,no,no,no,Angiosperm,Carpotroche,Carpotroche integrifolia Kuhlm.,yes,revised.by.M.Sobral
Achariaceae,Carpotroche longifolia,"shrub, tree",yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,Angiosperm,Carpotroche,Carpotroche longifolia (Poepp.) Benth.,yes,revised.by.M.Sobral
Achariaceae,Carpotroche pacifica,tree,yes,no,yes,no,no,yes,no,no,no,no,no,Angiosperm,Carpotroche,Carpotroche pacifica (Cuatrec.) Cuatrec.,yes,revised.by.M.Sobral
Achariaceae,Carpotroche surinamensis,tree,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,Angiosperm,Carpotroche,Carpotroche surinamensis Uittien,yes,revised.by.M.Sobral
Achariaceae,Lindackeria latifolia,"shrub, tree",yes,yes,no,no,no,no,no,no,yes,no,yes,Angiosperm,Lindackeria,Lindackeria latifolia Benth.,yes,revised.by.M.Sobral
Achariaceae,Lindackeria laurina,tree,yes,no,no,no,no,yes,no,no,no,yes,yes,Angiosperm,Lindackeria,Lindackeria laurina C.Presl,yes,revised.by.M.Sobral
Achariaceae,Lindackeria paludosa,"shrub, tree",yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,Angiosperm,Lindackeria,Lindackeria paludosa (Benth.) Gilg,yes,revised.by.M.Sobral
Achariaceae,Lindackeria paraensis,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Lindackeria,Lindackeria paraensis Kuhlm.,yes,revised.by.M.Sobral
Achariaceae,Lindackeria pauciflora,"shrub, tree",yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Lindackeria,Lindackeria pauciflora Benth.,yes,revised.by.M.Sobral
Achariaceae,Mayna grandifolia,"shrub, tree",yes,yes,yes,yes,no,yes,no,no,no,no,no,Angiosperm,Mayna,Mayna grandifolia (H.Karst.) Warb.,yes,revised.by.M.Sobral
Achariaceae,Mayna odorata,"shrub, tree",yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Angiosperm,Mayna,Mayna odorata Aubl.,yes,revised.by.M.Sobral
Achariaceae,Mayna parvifolia,"shrub, tree",yes,yes,yes,no,no,no,no,no,no,no,no,Angiosperm,Mayna,Mayna parvifolia (J.F.Macbr.) Sleumer,yes,revised.by.M.Sobral
Anacardiaceae,Anacardium amapaense,tree,yes,yes,no,no,no,no,yes,no,no,no,yes,Angiosperm,Anacardium,Anacardium amapaense J.D.Mitch.,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium giganteum,tree,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,Angiosperm,Anacardium,Anacardium giganteum W.Hancock ex Engl.,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium microsepalum,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Anacardium,Anacardium microsepalum Loes.,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium negrense,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Anacardium,Anacardium negrense Pires & Fróes,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium occidentale,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Anacardium,Anacardium occidentale L.,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium parvifolium,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Anacardium,Anacardium parvifolium Ducke,yes,revised.by.J.Mitchell
Anacardiaceae,Anacardium spruceanum,tree,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Anacardium,Anacardium spruceanum Benth. ex Engl.,yes,revised.by.J.Mitchell
Anacardiaceae,Antrocaryon amazonicum,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Antrocaryon,Antrocaryon amazonicum (Ducke) B.L.Burtt & A.W.Hill,yes,revised.by.J.Mitchell
Anacardiaceae,Astronium graveolens,tree,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,Angiosperm,Astronium,Astronium graveolens Jacq.,yes,revised.by.J.Mitchell
Anacardiaceae,Astronium lecointei,tree,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,Angiosperm,Astronium,Astronium lecointei Ducke,yes,revised.by.J.Mitchell
Anacardiaceae,Astronium ulei,tree,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,Angiosperm,Astronium,Astronium ulei Mattick,yes,revised.by.J.Mitchell
Anacardiaceae,Campnosperma gummiferum,tree,yes,yes,yes,no,no,yes,no,no,no,yes,yes,Angiosperm,Campnosperma,Campnosperma gummiferum Marchand,yes,revised.by.J.Mitchell
Anacardiaceae,Loxopterygium sagotii,tree,yes,no,no,no,no,no,no,yes,yes,yes,yes,Angiosperm,Loxopterygium,Loxopterygium sagotii Hook.f.,yes,revised.by.J.Mitchell
Anacardiaceae,Mauria heterophylla,tree,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,Angiosperm,Mauria,Mauria heterophylla Kunth,yes,revised.by.J.Mitchell
Anacardiaceae,Ochoterenaea colombiana,tree,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,Angiosperm,Ochoterenaea,Ochoterenaea colombiana F.A.Barkley,yes,revised.by.J.Mitchell
Anacardiaceae,Spondias globosa,tree,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,Angiosperm,Spondias,Spondias globosa J.D.Mitch. & Daly,yes,revised.by.J.Mitchell
Anacardiaceae,Spondias mombin,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Spondias,Spondias mombin L.,yes,revised.by.J.Mitchell
Anacardiaceae,Spondias testudinis,tree,yes,yes,yes,yes,yes,no,no,no,no,no,no,Angiosperm,Spondias,Spondias testudinis J.D.Mitch. & Daly,yes,revised.by.J.Mitchell
Anacardiaceae,Tapirira bethanniana,tree,yes,no,no,no,no,no,yes,no,no,no,yes,Angiosperm,Tapirira,Tapirira bethanniana J.D.Mitch.,yes,revised.by.J.Mitchell
Anacardiaceae,Tapirira guianensis,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Tapirira,Tapirira guianensis Aubl.,yes,revised.by.J.Mitchell
Anacardiaceae,Tapirira obtusa,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Tapirira,Tapirira obtusa (Benth.) J.D.Mitch.,yes,revised.by.J.Mitchell
Anacardiaceae,Tapirira retusa,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Tapirira,Tapirira retusa Ducke,yes,revised.by.J.Mitchell
Anacardiaceae,Thyrsodium bolivianum,tree,yes,yes,yes,no,yes,no,no,no,no,no,no,Angiosperm,Thyrsodium,Thyrsodium bolivianum J.D.Mitch. & Daly,yes,revised.by.J.Mitchell
Anacardiaceae,Thyrsodium guianense,tree,yes,yes,no,no,no,no,yes,yes,yes,no,yes,Angiosperm,Thyrsodium,Thyrsodium guianense Sagot ex Marchand,yes,revised.by.J.Mitchell
Anacardiaceae,Thyrsodium herrerense,tree,yes,yes,yes,no,no,no,no,no,no,no,no,Angiosperm,Thyrsodium,Thyrsodium herrerense Encarn.,yes,revised.by.J.Mitchell
Anacardiaceae,Thyrsodium puberulum,tree,yes,yes,no,no,no,no,yes,no,no,no,yes,Angiosperm,Thyrsodium,Thyrsodium puberulum J.D.Mitch. & Daly,yes,revised.by.J.Mitchell
Anacardiaceae,Thyrsodium rondonianum,tree,yes,yes,no,no,yes,no,no,no,no,no,no,Angiosperm,Thyrsodium,Thyrsodium rondonianum J.D.Mitch. & Daly,yes,revised.by.J.Mitchell
Anacardiaceae,Thyrsodium spruceanum,tree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,Angiosperm,Thyrsodium,Thyrsodium spruceanum Benth.,yes,revised.by.J.Mitchell
Anacardiaceae,Toxicodendron striatum,tree,yes,no,yes,no,yes,no,no,no,no,no,no,Angiosperm,Toxicodendron,Toxicodendron striatum (Ruiz & Pav.) Kuntze,yes,revised.by.J.Mitchell
Annonaceae,Anaxagorea acuminata,tree,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,Angiosperm,Anaxagorea,Anaxagorea acuminata (Dunal) A.DC.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea angustifolia,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Anaxagorea,Anaxagorea angustifolia Timmerman,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea brachycarpa,tree,yes,yes,yes,no,no,yes,no,no,no,yes,yes,Angiosperm,Anaxagorea,Anaxagorea brachycarpa R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea brevipedicellata,tree,yes,yes,no,no,no,no,yes,no,no,no,yes,Angiosperm,Anaxagorea,Anaxagorea brevipedicellata Timmerman,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea brevipes,tree,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,Angiosperm,Anaxagorea,Anaxagorea brevipes Benth.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea crassipetala,tree,yes,no,yes,yes,yes,no,no,no,no,no,no,Angiosperm,Anaxagorea,Anaxagorea crassipetala Hemsl.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea dolichocarpa,tree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Angiosperm,Anaxagorea,Anaxagorea dolichocarpa Sprague & Sandwith,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea floribunda,tree,yes,no,yes,no,no,yes,no,no,no,no,no,Angiosperm,Anaxagorea,Anaxagorea floribunda Timmerman,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea gigantophylla,tree,yes,yes,no,no,no,no,no,no,no,yes,yes,Angiosperm,Anaxagorea,Anaxagorea gigantophylla R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea inundata,shrub,no,no,no,no,no,no,no,no,no,yes,yes,Angiosperm,Anaxagorea,Anaxagorea inundata P.E.Berry & R.B.Mill.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea macrantha,tree,yes,yes,no,no,no,yes,no,no,no,no,no,Angiosperm,Anaxagorea,Anaxagorea macrantha R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea manausensis,tree,yes,yes,yes,no,no,yes,no,no,no,no,no,Angiosperm,Anaxagorea,Anaxagorea manausensis Timmerman,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea pachypetala,tree,yes,no,yes,no,no,no,no,no,no,no,no,Angiosperm,Anaxagorea,Anaxagorea pachypetala (Diels) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea petiolata,tree,yes,yes,no,no,no,yes,no,yes,no,yes,yes,Angiosperm,Anaxagorea,Anaxagorea petiolata R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea phaeocarpa,tree,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,Angiosperm,Anaxagorea,Anaxagorea phaeocarpa Mart.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea prinoides,"shrub, tree",yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Anaxagorea,Anaxagorea prinoides (Dunal) A.DC.,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea rheophytica,shrub,no,no,no,no,no,no,no,no,no,yes,yes,Angiosperm,Anaxagorea,Anaxagorea rheophytica Maas & Westra,yes,revised.by.R.MelloSilva
Annonaceae,Anaxagorea rufa,tree,yes,yes,yes,no,no,yes,no,no,no,yes,yes,Angiosperm,Anaxagorea,Anaxagorea rufa Timmerman,yes,revised.by.R.MelloSilva
Annonaceae,Annona amazonica,tree,yes,yes,yes,yes,yes,yes,no,no,no,no,no,Angiosperm,Annona,Annona amazonica R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona ambotay,tree,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,Angiosperm,Annona,Annona ambotay Aubl.,yes,revised.by.R.MelloSilva
Annonaceae,Annona angustifolia,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona angustifolia Huber,yes,revised.by.R.MelloSilva
Annonaceae,Annona annonoides,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona annonoides (R.E.Fr.) Maas & Westra,yes,revised.by.R.MelloSilva
Annonaceae,Annona asplundiana,tree,yes,yes,yes,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona asplundiana R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona atabapensis,shrub,no,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona atabapensis Kunth,yes,revised.by.R.MelloSilva
Annonaceae,Annona calcarata,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona calcarata (R.E.Fr.) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona centrantha,tree,yes,yes,yes,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona centrantha (R.E.Fr.) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona cordifolia,"shrub, small tree",no,yes,no,no,yes,yes,no,no,no,no,no,Angiosperm,Annona,Annona cordifolia (Szyszył.) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona cuspidata,tree,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,Angiosperm,Annona,Annona cuspidata (Mart.) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona deminuta,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona deminuta R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona densicoma,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona densicoma Mart.,yes,revised.by.R.MelloSilva
Annonaceae,Annona dolichopetala,tree,yes,no,no,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona dolichopetala (R.E.Fr.) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona dolichophylla,tree,yes,yes,yes,yes,no,yes,no,no,no,no,no,Angiosperm,Annona,Annona dolichophylla R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona duckei,tree,yes,no,yes,yes,no,yes,no,no,no,no,no,Angiosperm,Annona,Annona duckei Diels,yes,revised.by.R.MelloSilva
Annonaceae,Annona echinata,"shrub, tree",yes,yes,no,no,no,no,yes,yes,yes,no,yes,Angiosperm,Annona,Annona echinata Dunal,yes,revised.by.R.MelloSilva
Annonaceae,Annona edulis,tree,yes,yes,yes,yes,no,yes,no,no,no,no,no,Angiosperm,Annona,Annona edulis (Triana & Planch.) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona excellens,"shrub, tree",yes,yes,yes,no,yes,no,no,no,no,yes,yes,Angiosperm,Annona,Annona excellens R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona exsucca,tree,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,Angiosperm,Annona,Annona exsucca DC.,yes,revised.by.R.MelloSilva
Annonaceae,Annona fendleri,tree,yes,no,no,no,no,no,no,no,no,yes,yes,Angiosperm,Annona,Annona fendleri (R.E.Fr.) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona foetida,tree,yes,yes,no,no,yes,yes,no,no,no,no,no,Angiosperm,Annona,Annona foetida Mart.,yes,revised.by.R.MelloSilva
Annonaceae,Annona fosteri,tree,yes,no,yes,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona fosteri (Maas & Westra) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona gigantophylla,tree,yes,yes,no,no,no,yes,no,no,no,yes,yes,Angiosperm,Annona,Annona gigantophylla (R.E.Fr.) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona glabra,"shrub, tree",yes,yes,no,no,no,no,yes,yes,yes,no,yes,Angiosperm,Annona,Annona glabra L.,yes,revised.by.R.MelloSilva
Annonaceae,Annona glomerulifera,shrub,no,yes,yes,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona glomerulifera (Maas & Westra) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona haematantha,tree,yes,yes,no,no,no,no,yes,yes,yes,no,yes,Angiosperm,Annona,Annona haematantha Miq.,yes,revised.by.R.MelloSilva
Annonaceae,Annona helosioides,tree,yes,no,no,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona helosioides (Maas & Westra) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona herzogii,tree,yes,no,yes,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona herzogii (R.E.Fr.) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona hispida,tree,yes,yes,yes,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona hispida (Maas & Westra) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona hypoglauca,"shrub, tree",yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,Angiosperm,Annona,Annona hypoglauca Mart.,yes,revised.by.R.MelloSilva
Annonaceae,Annona impressivenia,tree,yes,no,no,no,no,no,no,no,no,yes,yes,Angiosperm,Annona,Annona impressivenia Saff. ex R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona insignis,"shrub, tree",yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona insignis R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona iquitensis,tree,yes,no,yes,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona iquitensis R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona jucunda,tree,yes,yes,yes,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona jucunda Diels,yes,revised.by.R.MelloSilva
Annonaceae,Annona macrocalyx,tree,yes,no,yes,no,yes,no,no,no,no,no,no,Angiosperm,Annona,Annona macrocalyx R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona mammifera,liana,no,yes,yes,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona mammifera (Maas & Westra) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona montana,tree,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,Angiosperm,Annona,Annona montana Macfad.,yes,revised.by.R.MelloSilva
Annonaceae,Annona mucosa,tree,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,Angiosperm,Annona,Annona mucosa Jacq.,yes,revised.by.R.MelloSilva
Annonaceae,Annona neglecta,tree,yes,no,no,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona neglecta R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona neoamazonica,tree,yes,no,no,no,no,yes,no,no,no,no,no,Angiosperm,Annona,Annona neoamazonica H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona neochrysocarpa,tree,yes,no,yes,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona neochrysocarpa H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona neoecuadoarensis,tree,yes,no,no,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona neoecuadoarensis H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona neoelliptica,tree,yes,no,no,no,no,no,yes,no,yes,no,yes,Angiosperm,Annona,Annona neoelliptica H.Rainer & Maas,yes,revised.by.R.MelloSilva
Annonaceae,Annona neoinsignis,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona neoinsignis H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona neosalicifolia,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona neosalicifolia H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona neoulei,tree,yes,no,yes,no,yes,no,no,no,no,no,no,Angiosperm,Annona,Annona neoulei H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona nitida,"shrub, tree",yes,yes,yes,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona nitida Mart.,yes,revised.by.R.MelloSilva
Annonaceae,Annona paludosa,"shrub, tree",yes,yes,no,no,no,no,yes,no,yes,no,yes,Angiosperm,Annona,Annona paludosa Aubl.,yes,revised.by.R.MelloSilva
Annonaceae,Annona papilionella,tree,yes,yes,yes,yes,yes,yes,no,no,no,no,no,Angiosperm,Annona,Annona papilionella (Diels) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona paraensis,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona paraensis R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona poeppigii,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona poeppigii (Mart.) Maas & Westra,yes,revised.by.R.MelloSilva
Annonaceae,Annona prevostiae,tree,yes,yes,no,no,no,no,yes,no,no,no,yes,Angiosperm,Annona,Annona prevostiae H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona purpurea,tree,yes,no,no,yes,no,no,no,no,no,no,no,Angiosperm,Annona,Annona purpurea Moc. & Sessé ex Dunal,yes,revised.by.R.MelloSilva
Annonaceae,Annona rigida,tree,yes,yes,no,no,no,yes,no,no,no,no,no,Angiosperm,Annona,Annona rigida R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona scandens,vine,no,yes,yes,no,yes,yes,no,no,no,no,no,Angiosperm,Annona,Annona scandens Diels ex Pilg.,yes,revised.by.R.MelloSilva
Annonaceae,Annona schunkei,tree,yes,yes,yes,no,no,no,no,no,no,no,no,Angiosperm,Annona,Annona schunkei (Maas & Westra) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Annona sericea,"shrub, tree",yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,Angiosperm,Annona,Annona sericea Dunal,yes,revised.by.R.MelloSilva
Annonaceae,Annona symphyocarpa,tree,yes,yes,no,no,no,no,no,yes,no,yes,yes,Angiosperm,Annona,Annona symphyocarpa Sandwith,yes,revised.by.R.MelloSilva
Annonaceae,Annona tenuiflora,tree,yes,yes,no,no,no,yes,no,no,no,no,no,Angiosperm,Annona,Annona tenuiflora Mart.,yes,revised.by.R.MelloSilva
Annonaceae,Annona tenuipes,tree,yes,no,no,no,no,no,no,yes,no,no,yes,Angiosperm,Annona,Annona tenuipes R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Annona williamsii,"shrub, small tree",no,yes,no,no,yes,no,no,no,no,no,no,Angiosperm,Annona,Annona williamsii (Rusby ex R.E.Fr.) H.Rainer,yes,revised.by.R.MelloSilva
Annonaceae,Bocageopsis canescens,"shrub, tree",yes,yes,yes,no,no,yes,no,no,no,yes,yes,Angiosperm,Bocageopsis,Bocageopsis canescens (Benth.) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Bocageopsis mattogrossensis,"shrub, tree",yes,yes,yes,no,yes,no,no,no,no,no,no,Angiosperm,Bocageopsis,Bocageopsis mattogrossensis (R.E.Fr.) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Bocageopsis multiflora,tree,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,Angiosperm,Bocageopsis,Bocageopsis multiflora (Mart.) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Bocageopsis pleiosperma,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Bocageopsis,Bocageopsis pleiosperma Maas,yes,revised.by.R.MelloSilva
Annonaceae,Cardiopetalum calophyllum,tree,yes,yes,no,no,yes,no,no,no,no,no,no,Angiosperm,Cardiopetalum,Cardiopetalum calophyllum Schltdl.,yes,revised.by.R.MelloSilva
Annonaceae,Cardiopetalum plicatum,tree,yes,yes,no,no,no,no,no,no,no,no,no,Angiosperm,Cardiopetalum,Cardiopetalum plicatum N.A.Murray,yes,revised.by.R.MelloSilva
Annonaceae,Cardiopetalum surinamense,tree,yes,yes,no,no,no,no,yes,yes,yes,no,yes,Angiosperm,Cardiopetalum,Cardiopetalum surinamense R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma brevipes,tree,yes,yes,no,no,no,no,yes,yes,no,no,yes,Angiosperm,Cremastosperma,Cremastosperma brevipes (DC. ex Dunal) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma bullatum,tree,yes,no,yes,yes,no,no,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma bullatum Pirie,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma cauliflorum,tree,yes,yes,yes,yes,no,yes,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma cauliflorum R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma cenepense,tree,yes,no,yes,no,no,no,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma cenepense Pirie & Zapata,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma gracilipes,tree,yes,no,yes,yes,no,yes,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma gracilipes R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma killipii,tree,yes,no,yes,no,no,no,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma killipii R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma leiophyllum,tree,yes,no,yes,no,yes,no,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma leiophyllum (Diels) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma longicuspe,tree,yes,no,no,yes,no,no,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma longicuspe R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma megalophyllum,tree,yes,no,yes,yes,no,yes,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma megalophyllum R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma microcarpum,tree,yes,yes,yes,no,no,yes,no,no,no,yes,yes,Angiosperm,Cremastosperma,Cremastosperma microcarpum R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma monospermum,tree,yes,yes,no,yes,yes,no,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma monospermum (Rusby) R.E.Fr.,yes,revised.by.R.MelloSilva
Annonaceae,Cremastosperma napoense,tree,yes,no,no,yes,no,no,no,no,no,no,no,Angiosperm,Cremastosperma,Cremastosperma napoense Pirie,yes,revised.by.R.MelloSilva
