Authors;Title;Year;Affiliations;Author Keywords
ANDRADE R.N.D., BESSA A.D.Q.;A interação entre bibliotecário e professores na formação de leitores em uma escola pública na cidade de Manaus, Amazonas;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar; Bibliotecário; Leitores; Formação de leitores"
MENEZES S.D.S., BOTELHO D.E.;A Biblioteca Escolar Paulo Reglus Neves Freire: um estudo sobre a sua estruturação;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca; Biblioteca escolar; Estrutura física"
MELO S.D.S., BOTELHO D.E.;O acesso à leitura da pessoa com deficiência visual: um estudo de caso da biblioteca Braille do Amazonas;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Acessibilidade; Biblioteca Braille; Leitura; Pessoa com deficiência visual; Tecnologias assistivas"
VICENTE S.D.S., BOTELHO D.E.;Serviços e produtos oferecidos pela biblioteca setorial do Museu Amazônico: um estudo realizado com os discentes do programa de pós-graduação em antropologia social;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca; Serviços e produtos; Divulgação"
SANTOS T.R.D., BORGES V.J.;A missão organizacional nos serviços de uma biblioteca especializada;2017;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Missão organizacional; Biblioteca especializada; Serviços de biblioteca "
CASTRO T.G.D., FERNANDES T.B.;O uso da internet como ferramenta na pesquisa escolar: um estudo de caso;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Pesquisa escolar; Internet; Alunos"
ULISSES T.L.M, FERNANDES T.B.;Normalização de trabalhos de conclusão de curso: uma análise de Tccs do curso de Biblioteconomia da Universidade Federal do Amazonas entre os anos de 2013 a 2014;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Normalização Documentária; ABNT; Trabalho de Conclusão de Curso"
SILVA T.S.D., BARBALHO C.R.S.;Plano de marketing para bibliotecas;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Ciência da informação; Bibliotecas; Plano de marketing"
LEITE T.F., BORGES V.J.;Avaliação de coleções em bibliotecas universitárias: um estudo quantitativo dos títulos disponíveis no acervo do curso de Pedagogia da UEA;2016;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca universitária; Universidade do Estado do Amazonas; Avaliação dos parâmetros do MEC"
SILVA V.F.D., TERRA G.D.M.;Aplicabilidade do vocabulário controlado em bibliotecas especializadas;2013;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Vocabulário controlado; Indexação; Bibliotecas especializadas"
SILVA E.R.D., MARQUEZ S.O.M.;O lúdico na biblioteca: uma estratégia de incentivo à leitura;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar; Lúdico; Incentivo à leitura"
BENJÓ E.A., MARQUEZ S.O.M.;Acervo sobre biodiversidade na Amazônia: estudo preliminar para formação de uma coleção amazonia na UFAM;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Acervo; Biodiversidade; Amazônia; Coleção amazoniana; Linguagem documentária; Biblioteca universitária; Universidade Federal do Amazonas"
RAMOS T.R.P., BARBALHO C.R.S.;A competência informacional das bibliotecas universitárias na região Norte;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Competência informacional; Região norte; Biblioteca universitária; Sociedade da informação"
QUEIROZ L.D.D.S., BARBALHO C.R.S.;Repositório institucional como estratégia para implantação do plano de desenvolvimento institucional no âmbito IFAM;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Repositórios; Arquitetura da informação; Desenvolvimento institucional; Acessibilidade"
FURTADO E.D.S., LIMA R.M.D.;Biblioteca escolar e mediação de leitura: a literatura amazonense como recurso pedagógico;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar; Leitura; Mediação de leitura; Literatura amazonense"
NASCIMENTO N.C.D., BARBALHO C.R.S.;Perfil dos estagiários de Biblioteconomia: um estudo de caso na Universidade Federal do Amazonas;2014;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Estágio; Biblioteconomia; Universidade Federal do Amazonas; Estagiários"
SILVA H.G.D., LIMA R.M.D.;Aplicação da quarta lei de Ranganathan à biblioteca setorial do setor norte da UFAM;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca universitária - estruturação e funcionamento; Biblioteca universitária - serviços aos usuários; Biblioteca universitária - aplicação das leis de Ranganathan"
PICANÇO T.L., BESSA A.D.Q.;O bibliotecário e a pesquisa escolar: uma relação possível e necessária;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Pesquisa escolar; Bibliotecário escolar; Blioteca escolar; Escola"
MENDES L.L., LIMA R.M.D.;Atendimento ao público em biblioteca universitária: o caso da biblioteca da escola superior de ciências sociais(ESO/UEA);2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca universitária; Estudo de usuário; Satisfação de usuários"
BECKMAN M.C., MARQUEZ S.O.M.;A biblioteca escolar como facilitadora do processo ensino aprendizagem;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioteca escolar; Processo ensino aprendizagem; Leitura; bibliotecário escolar"
SILVA M.B.D., BORGES V.J.;Uso da biblioterapia como apoio ao tratamento das crianças hospitalizadas;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Biblioterapia; Hospital; leitura"
BEZERRA M.D.S., BORGES V.J.;Avaliação de repositórios institucionais digitais de instituições de ensino superior;2015;"Universidade Federal do Amazonas; Universidade Federal do Amazonas";"Instituições de ensino superior - comunicação científica; Repositórios institucionais; Critérios institucionais"
